Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Erie,02/01/2021,59,99.1,15672,269728,21.9,36.8,5810.3,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Greene,03/08/2021,7,5.1,2711,36233,19.3,14.2,7482.1,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Cameron,10/27/2020,0,0.1,9,4447,0,3.2,202.4,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Cameron,04/30/2021,2,0.6,290,4447,45,12.8,6521.3,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Clearfield,03/15/2020,0,0,0,79255,0,0,0,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Schuylkill,03/01/2021,30,17.9,12111,141359,21.2,12.6,8567.5,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Centre,03/26/2020,2,1.9,14,162385,1.2,1.1,8.6,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Carbon,04/07/2020,11,7.7,78,64182,17.1,12,121.5,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Beaver,10/28/2020,34,14.7,2287,163929,20.7,9,1395.1,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Bucks,11/14/2020,308,249.1,12993,628270,49,39.7,2068.1,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Montgomery,04/02/2021,375,270.3,60333,830915,45.1,32.5,7261,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Lycoming,06/27/2021,0,1.6,11959,113299,0,1.4,10555.3,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Greene,01/31/2021,9,14.9,2418,36233,24.8,41,6673.5,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
McKean,03/04/2020,0,,0,40625,0,,0,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
McKean,03/10/2020,0,0,0,40625,0,0,0,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Berks,06/30/2021,5,5.1,48456,421164,1.2,1.2,11505.3,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Luzerne,06/02/2020,13,12.7,2775,317417,4.1,4,874.2,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Allegheny,07/05/2020,219,156.6,3797,1216045,18,12.9,312.2,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Erie,09/07/2020,2,5.9,1418,269728,0.7,2.2,525.7,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Beaver,09/12/2020,3,9.1,1775,163929,1.8,5.6,1082.8,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cameron,08/18/2020,0,0.1,8,4447,0,3.2,179.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
York,07/06/2020,39,20.3,1656,449058,8.7,4.5,368.8,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Lebanon,06/09/2021,4,4.6,16150,141793,2.8,3.2,11389.8,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lycoming,05/10/2021,28,23.6,11595,113299,24.7,20.8,10234,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Cameron,03/27/2020,1,0.1,1,4447,22.5,3.2,22.5,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Mifflin,09/03/2020,5,2.3,175,46138,10.8,5,379.3,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Warren,03/28/2020,0,0.1,1,39191,0,0.4,2.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Crawford,03/28/2020,1,0.4,3,84629,1.2,0.5,3.5,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Lancaster,08/09/2020,50,41.9,5984,545724,9.2,7.7,1096.5,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Greene,02/15/2021,15,10.6,2571,36233,41.4,29.2,7095.7,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Lancaster,11/07/2020,148,131.4,10872,545724,27.1,24.1,1992.2,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Chester,03/19/2020,8,2.7,19,524989,1.5,0.5,3.6,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Fayette,12/29/2020,141,126.1,7000,129274,109.1,97.6,5414.9,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Centre,03/15/2020,0,0,0,162385,0,0,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Jefferson,04/23/2020,0,0.3,5,43425,0,0.7,11.5,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Lehigh,06/27/2020,8,17.4,4227,369318,2.2,4.7,1144.5,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lebanon,08/07/2020,1,4.4,1603,141793,0.7,3.1,1130.5,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Susquehanna,06/24/2021,0,0.1,2656,40328,0,0.4,6586,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Berks,07/08/2021,2,4,48489,421164,0.5,0.9,11513.1,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Susquehanna,07/01/2021,0,0.1,2657,40328,0,0.4,6588.5,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Lebanon,02/02/2021,28,54.3,11901,141793,19.7,38.3,8393.2,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Somerset,04/10/2020,0,1,11,73447,0,1.4,15,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Cumberland,07/17/2020,13,10.6,1016,253370,5.1,4.2,401,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Bradford,03/10/2020,0,0,0,60323,0,0,0,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Lebanon,09/06/2020,9,7.3,1785,141793,6.3,5.1,1258.9,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
McKean,12/05/2020,106,33,731,40625,260.9,81.2,1799.4,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Beaver,07/14/2021,5,4,15591,163929,3.1,2.4,9510.8,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Lebanon,12/04/2020,106,119.9,6060,141793,74.8,84.5,4273.8,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Clinton,08/09/2020,3,1,124,38632,7.8,2.6,321,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Berks,07/09/2021,11,4.4,48500,421164,2.6,1.1,11515.7,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Northampton,01/12/2021,256,249.4,19905,305285,83.9,81.7,6520.1,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Lebanon,05/23/2020,8,5.1,912,141793,5.6,3.6,643.2,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Berks,05/14/2021,87,83.4,47178,421164,20.7,19.8,11201.8,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Somerset,07/14/2020,3,2.9,90,73447,4.1,3.9,122.5,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Lehigh,05/15/2021,20,48.1,39142,369318,5.4,13,10598.5,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Fulton,04/15/2020,0,0.1,2,14530,0,1,13.8,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Bradford,11/16/2020,39,39.1,1532,60323,64.7,64.9,2539.7,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Tioga,07/18/2020,0,0.6,35,40591,0,1.4,86.2,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Bucks,11/02/2020,104,82,10590,628270,16.6,13.1,1685.6,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Sullivan,01/29/2021,11,2,274,6066,181.3,33,4517,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Cameron,05/04/2020,1,0.1,2,4447,22.5,3.2,45,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Chester,07/02/2021,5,4.7,40828,524989,1,0.9,7776.9,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
